Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617884785	49041032	11	256	2021-04-08	14:26:25	nan	nan	nan	101.252	21.8239	101.34	24.3419	0	0	21.8612	-4000	0	23.9047	 91
DATA	1617884786	49010038	15	256	2021-04-08	14:26:26	nan	nan	nan	101.513	21.8239	101.608	29.5245	0	0	21.8612	-16000	0	23.8812	208
DATA	1617884787	48965930	19	256	2021-04-08	14:26:27	nan	nan	nan	101.569	21.8239	101.661	38.165	0	0	21.8617	-16000	0	23.8828	203
DATA	1617884788	48932075	23	256	2021-04-08	14:26:28	nan	nan	nan	101.583	21.8239	101.673	42.624	0	0	21.8619	-16000	0	23.8886	194
DATA	1617884789	48897027	27	256	2021-04-08	14:26:29	nan	nan	nan	101.586	21.824	101.676	43.1995	0	0	21.8619	-16000	0	23.8298	215
DATA	1617884790	48850059	31	256	2021-04-08	14:26:30	nan	nan	nan	101.588	21.8247	101.678	43.3353	0	0	21.862	-16000	0	23.6497	180
DATA	1617884791	48816919	35	256	2021-04-08	14:26:31	nan	nan	nan	101.59	21.827	101.68	43.3955	0	0	21.864	-16000	0	23.6497	 41
DATA	1617884792	48816919	39	256	2021-04-08	14:26:32	nan	nan	nan	101.592	21.8325	101.682	43.4294	0	0	21.8708	-16000	0	23.6497	246
DATA	1617884793	298816919	44	256	2021-04-08	14:26:33	nan	nan	nan	101.592	21.8499	101.681	43.4638	0	0	21.8942	-16000	0	23.6501	 42
DATA	1617884794	298816919	48	256	2021-04-08	14:26:34	nan	nan	nan	101.593	21.8583	101.682	43.4722	0	0	21.9046	-16000	0	23.6497	 48
DATA	1617884795	48816919	51	256	2021-04-08	14:26:35	nan	nan	nan	101.593	21.8717	101.681	43.4815	0	0	21.9207	-16000	0	23.6496	244
DATA	1617884796	48816919	55	256	2021-04-08	14:26:36	nan	nan	nan	101.592	21.8877	101.68	43.4881	0	0	21.9378	-16000	0	23.6501	206
DATA	1617884797	48816919	59	256	2021-04-08	14:26:37	nan	nan	nan	101.591	21.9067	101.68	43.4945	0	0	21.9577	-16000	0	23.6497	219
DATA	1617884798	48816919	63	256	2021-04-08	14:26:38	nan	nan	nan	101.592	21.9273	101.681	43.499	0	0	21.9782	-16000	0	23.6493	211
DATA	1617884799	48528909	67	256	2021-04-08	14:26:39	nan	nan	nan	101.593	21.9492	101.68	43.5027	0	0	21.9986	-16000	0	23.6493	217
DATA	1617884800	48528909	71	256	2021-04-08	14:26:40	nan	nan	nan	101.593	21.97	101.681	43.5049	0	0	22.0182	-16000	0	23.6493	116
DATA	1617884801	298528909	76	256	2021-04-08	14:26:41	nan	nan	nan	101.594	22.0067	101.683	43.5072	0	0	22.0523	-16000	0	23.6485	 15
DATA	1617884806	48228979	76	256	2021-04-08	14:26:46	nan	nan	nan	101.592	22.3059	101.678	43.5147	0	0	22.3241	-16000	0	23.6485	239
DATA	1617884813	547945022	76	256	2021-04-08	14:26:53	nan	nan	nan	101.586	22.4761	101.671	43.5169	0	0	22.4939	-16000	0	23.6478	 34
DATA	1617884821	47653913	76	256	2021-04-08	14:27:01	nan	nan	nan	101.589	22.6399	101.672	43.5191	0	0	22.6671	-16000	0	23.647	182
DATA	1617884828	547358036	76	256	2021-04-08	14:27:08	nan	nan	nan	101.59	22.7951	101.672	43.5214	0	0	22.84	-16000	0	23.647	 78
